[通用]广东频道,#genre#
广东珠江,http://120.238.85.131:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&down=1
广东体育,http://120.238.85.131:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&down=1
大湾区卫视,http://120.238.85.131:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1
广东影视,http://120.238.85.131:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&down=1
广东新闻,http://120.238.85.131:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
广东民生,http://120.238.85.131:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&down=1
广东少儿,http://120.238.85.131:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
嘉佳卡通,http://120.238.85.131:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
广东卫视,http://120.238.85.131:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&down=1
广东卫视,http://120.196.171.138:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&down=1
广东珠江,http://120.196.171.138:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&down=1
广东体育,http://120.196.171.138:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&down=1
广东民生,http://120.196.171.138:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&down=1
广东新闻,http://120.196.171.138:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&down=1
大湾区卫视,http://120.196.171.138:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&down=1
广东影视,http://120.196.171.138:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&down=1
嘉佳卡通,http://120.196.171.138:9901/tsfile/live/1098_1.m3u8?key=txiptv&playlive=1&down=1
广东少儿,http://120.196.171.138:9901/tsfile/live/1097_1.m3u8?key=txiptv&playlive=1&down=1

[通用]港澳频道,#genre#
翡翠台,http://120.196.171.138:9901/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&down=1
TVB星河,http://120.196.171.138:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1
明珠台,http://120.196.171.138:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&down=1
澳亚卫视,http://120.196.171.138:9901/tsfile/live/1102_1.m3u8?key=txiptv&playlive=1&down=1
澳视澳门,http://120.196.171.138:9901/tsfile/live/1106_1.m3u8?key=txiptv&playlive=1&down=1
TVBPlus,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
凤凰中文,http://43.141.130.51/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv
凤凰资讯,http://43.141.130.51/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.flv
凤凰香港,http://43.141.130.51/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv

[通用]央视频道,#genre#
CHC家庭影院,http://120.196.171.138:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&down=1
CHC动作电影,http://120.196.171.138:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1
CHC影迷电影,http://120.196.171.138:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&down=1
CCTV1,http://120.196.171.138:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2,http://120.196.171.138:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&down=1
CCTV3,http://120.196.171.138:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
CCTV4,http://120.196.171.138:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5,http://120.196.171.138:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5+,http://120.196.171.138:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&down=1
CCTV6,http://120.196.171.138:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
CCTV7,http://120.196.171.138:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&down=1
CCTV8,http://120.196.171.138:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
CCTV9,http://120.196.171.138:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&down=1
CCTV10,http://120.196.171.138:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&down=1
CCTV11,http://120.196.171.138:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://120.196.171.138:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&down=1
CCTV13,http://120.196.171.138:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&down=1
CCTV14,http://120.196.171.138:9901/tsfile/live/1096_1.m3u8?key=txiptv&playlive=1&down=1
CCTV15,http://120.196.171.138:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&down=1
CCTV17,http://120.196.171.138:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&down=1
世界地理,http://120.196.171.138:9901/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&down=1
第一剧场,http://120.196.171.138:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&down=1
风云足球,http://120.196.171.138:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&down=1
央视台球,http://120.196.171.138:9901/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&down=1
风云剧场,http://120.196.171.138:9901/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&down=1

[通用]卫视频道,#genre#
浙江卫视,http://120.196.171.138:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&down=1
东方卫视,http://120.196.171.138:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&down=1
江苏卫视,http://120.196.171.138:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&down=1
北京卫视,http://120.196.171.138:9901/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&down=1
湖南卫视,http://120.196.171.138:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&down=1
金鹰卡通,http://120.196.171.138:9901/tsfile/live/1099_1.m3u8?key=txiptv&playlive=1&down=1
金鹰纪实,http://120.196.171.138:9901/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&down=1
西藏卫视,http://120.196.171.138:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&down=1
深圳卫视,http://120.196.171.138:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&down=1
青海卫视,http://120.196.171.138:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&down=1
湖北卫视,http://120.196.171.138:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&down=1
四川卫视,http://120.196.171.138:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&down=1
重庆卫视,http://120.196.171.138:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&down=1
厦门卫视,http://120.196.171.138:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&down=1
安徽卫视,http://120.196.171.138:9901/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&down=1
天津卫视,http://120.196.171.138:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&down=1
山东卫视,http://120.196.171.138:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&down=1
辽宁卫视,http://120.196.171.138:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&down=1
贵州卫视,http://120.196.171.138:9901/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&down=1
广西卫视,http://120.196.171.138:9901/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&down=1
江西卫视,http://120.196.171.138:9901/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&down=1
河北卫视,http://120.196.171.138:9901/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&down=1
吉林卫视,http://120.196.171.138:9901/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&down=1
东南卫视,http://120.196.171.138:9901/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&down=1
山西卫视,http://120.196.171.138:9901/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&down=1
陕西卫视,http://120.196.171.138:9901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=1&down=1
海南卫视,http://120.196.171.138:9901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&down=1
云南卫视,http://120.196.171.138:9901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&down=1
河南卫视,http://120.196.171.138:9901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&down=1
宁夏卫视,http://120.196.171.138:9901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&down=1
甘肃卫视,http://120.196.171.138:9901/tsfile/live/1092_1.m3u8?key=txiptv&playlive=1&down=1
内蒙古卫视,http://120.196.171.138:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&down=1
新疆卫视,http://120.196.171.138:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&down=1
三沙卫视,http://120.196.171.138:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&down=1


[IPV6]央视频道,#genre#
CCTV1,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC14fzxhy5Y
CCTV2,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000036BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfGVSARKsxkWGZw7vFUuOj2QZHeRzosIxVbl7i2QHFATHA3k5wDWG1qHkZQAleNv%2FbI
CCTV3,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727c125355/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSPTZ4CK5oLfjaEYe9dogNMUNNEYLCPUtKY62j1Wp5u04wipypKUQ1TTuR2lXvBl5YpHqBJmlA19x22TD9bUOjk
CCTV4,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000037BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfH0ZQXwaiVktPr6ILPKXqwOUC2ZXft7ZULN6h9qLQPFOTSlVTfophiKaMb8h1kPV74
CCTV5,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727e617ca0/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSPTZ4CK5oLfjaEYe9dogNMSXw4ajlL%2FoUYC2RZQQDco6uQSifXBocz5ID6RePfIKQ4rFWiHjq%2FeZoDmrzW%2FKlw
CCTV5PLUS,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63872908d48f9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSBx06ZL9Bo6JOM%2BSTjxZRK254G1jtietGzDaHvFNRtjXOvFnbf%2BTao33JqYlfMYYn2z3agOn9gvNMT9KmBaR9o
CCTV6,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638728804b1f9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUdDh4EPdDnvGlSBkYaxFdazJhFQmuq4XUiks9ZrIlJN%2BknLs8H%2BSxcDXy%2BTesEc8Q0KCN89MjYoj85Sol1kbKI4
CCTV7,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000038BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfHYKFve4MwNzRa0jPXeHjqnBjPmzSdKDNWNHhnZSaMGCXKmdx8d%2BnYdhVK5ge22ot4
CCTV8,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638728970aa82/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUdDh4EPdDnvGlSBkYaxFdaymid9ta2tVUW0%2FdVrFqszC1EVEkAbpip1IYxn%2Ba2aA%2BVAihIiw9D8ejUsDbfU0K68
CCTV9,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000039BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfHArfvJF2pWpm4RxcBNhZ7j9vEUeCQte%2BbQaOGNIUEEK%2B3RBE1BC9EUsM18gnb%2FyAA
CCTV10,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN3949784BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUXt3TPFwzzdHCkOT9AjSv5OuXozn3alq9%2BUx7ZLG1w9aOfkLjZvYj56D3xkOAtSOIoLsdw8c1%2BCwLDg1aS4esN4
CCTV11,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6000053BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTWDyIgRkFJBAHMhA2ayG0Qj2xHA4vdPGsjBbxSL3p%2FmAObVTfznR%2Fpc%2B76QYmLRMuL3Lj9iabhv8arW7kJe6%2F4
CCTV12,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000040BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUd3JM2PCgDefrKOVZLNt0QMAmpLefguRLiOPXiDRWhxHg8yim2giTBA8RILsb%2B8Y5pkFUyZBE%2FkNJAbwncEegkU
CCTV13,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6000054BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTWDyIgRkFJBAHMhA2ayG0SuXozn3alq9%2BUx7ZLG1w9awc14iEUxQ5VsTsr5pEBsmF56tXUfsukRUpygmTCKvAI
CCTV14,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN3949788BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUXt3TPFwzzdHCkOT9AjSv5PYKFve4MwNzRa0jPXeHjqnp7khdLaCMP6L4QpTf84Oz6DvCG1%2BJ81QvStkxO%2FoGm8
CCTV15,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6000055BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTWDyIgRkFJBAHMhA2ayG0Tdo%2FUL80msfbhDYvoWpNl31Dy7jHvMl%2FzVUrNxhL1ek1YEGVDZ7lCg0LtKJY4Ku%2B8
CCTV16,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638728afa13b4/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUdDh4EPdDnvGlSBkYaxFdaz%2FyAI9to%2FMBBt%2FivcdSfljJ1%2FqqamWUjAiBAxNssfyBlZUDSXAIMtStS86hRHFuJM
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CHC影迷电影,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380764b172c9/index.m3u8?m3u8_level=2
CHC动作电影,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380763222d00/index.m3u8?m3u8_level=2
CHC家庭影院,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63807601b19dd/index.m3u8?m3u8_level=2
CGTN,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63806f4f64099/index.m3u8?m3u8_level=2
CGTN纪录,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63a15d0ee63f3/index.m3u8?m3u8_level=2
CGTN俄语,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638071d299009/index.m3u8?m3u8_level=2
CGTN法语,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63806fb631afe/index.m3u8?m3u8_level=2
CGTN西语,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63806f81c8eb5/index.m3u8?m3u8_level=2
CGTN阿语,http://livear.cgtn.com/1000a/prog_index.m3u8

[IPV6]卫视频道,#genre#
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
北京卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
湖南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
东方卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
四川卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
深圳卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
广东卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
江苏卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
浙江卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
海南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
湖北卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
山西卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000318/index.m3u8?IAS
东南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
贵州卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
辽宁卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
重庆卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
黑龙江卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
内蒙古卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000319/index.m3u8?IAS
宁夏卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000309/index.m3u8?IAS
陕西卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000313/index.m3u8?IAS
吉林卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
甘肃卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
云南卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000305/index.m3u8?IAS
三沙卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?IAS
青海卫视,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
新疆卫视,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
